BdprotoID	LanguageName	GlottologID	GlottologNotes	LanguageFamilyRoot	Family	Classification	TimeDepth	TimeDepthDateSource	TimeDepthFromNow	"Homeland Data"	Url	FileName	Notes	InventorySource	DateSource	HomelandSource
1061	AFROASIATIC	afro1255		afas	Afro-Asiatic	Afro-Asiatic		"9th-8th millenia B.C."	-10000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1061	LG1061.txt		ehret1995reconstructing	"Diakonoff, I.M., 1988, ""Afrasian Languages"", Moscow. Pp.583-587."	
1097	ALGONQUIAN	algo1256		alms	North-American	"North-American, Almosa"		"Around 2500 to 3000 years ago"	-3000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1097	LG1097.txt	"Other Source not available at library"	campbell1979	"Goddard, Ives, 1978,"" Central Algonquian Languages"", Trigger, Bruce G., ed. Northeast. Vol. 15 of Handbook of North American Indians, ed. William C. Sturtevant. Washington, D.C.: Smithsonian Institution. Pp. 583–587."	
1053	ALTAIC	NULL	None	urlc	Ural-Altaic	"Ural-Altaic, Altaic"		"6th millenium BC"	-7000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1053	LG1053.txt		bomhard1990	http://books.google.de/books?id=x5J9rn8p2-IC&pg=PP1&redir_esc=y#v=onepage&q&f=false	
1018	ANATOLIAN	anat1257		ieur	Indo-European	"Indo-European, Anatolian"		"roughly 4000 BC"	-6000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1018	LG1018.txt		melchert1994		
1116	ARAWAKAN	araw1281		amin	South-American	"South-American, Macro-Arawakan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1116	LG1116.txt	"Need to do something about LanguageFamilyRoot."	matteson1972		
1110	ATHAPASKAN	atha1245		nadn	Na-Dene	"Na-Dene, Athabaskan"			"ask Dagmar"		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1110	LG1110.txt		krauss1964		
1104	ATTIC	atti1238		ieur	Indo-European	"Indo-European, Greek"	"400 BC"		-2400		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1104	LG1104.txt	"This isn't proto greek but attic greek! Proto greek must be ways older"	teodorsson1974		
1059	AUSTRALIAN	NULL	None	aust	Australian	Australian	"-40000 or less"		-40000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1059	LG1059.txt	"not among squibs"	dixon1997		
1041	AUSTRONESIAN	aust1307		auth	Austro-Tai	"Austro-Tai, Austronesian"	"at least 5000 years"		-5000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1041	LG1041.txt		ross1995		
1094	BANTU	bant1295		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Bantoid"		"split off from Niger-Congo languages 3000-4000 years ago"	-4000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1094	LG1094.txt		meeussen1965	"Newman J. Yale University Press; New Haven, CT: 1995. The Peopling of Africa: A Geographic Interpretation."	
1038	"CENTRAL GUR"	cent2243		nkrd	Niger-Kordofanian	"Niger-Kordofanian, Voltaic"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1038	LG1038.txt		naden1989		
1056	"CENTRAL KHOISAN"	khoe1241		khoi	Khoisan	"Khoisan, Central-Khoisan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1056	LG1056.txt				
1034	"CENTRAL PACIFIC"	cent2060		auth	Austro-Tai	"Austro-Tai, Austronesian, East-Malayo-Polynesian"		"More than 3000 years"	-3000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1034	LG1034.txt		geraghty1986		
1033	"CENTRAL TARIKU"	cent2110		papt	Papuan	"Papuan, Geelvink-Bay"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1033	LG1033.txt		clouse1996		
1083	CHADIC	chad1250		afas	Afro-Asiatic	"Afro-Asiatic, Chadic"		"More than 7000 years"	-7000		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1083	LG1083.txt		newman1977	http://www.nature.com/ejhg/journal/v18/n7/pdf/ejhg2009231a.pdf	
1072	"CHIAPANEC MANGUEAN"	chia1262	"We use: Chiapanec"	otma	North-American	"North-American, Oto-Manguean"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1072	LG1072.txt		longacre1967		
1111	CHIBCHA	chib1249		amin	South-American	"South-American, Chibchan"			NA		http://www.diadm.ish-lyon.cnrs.fr/upsid/index.php?set_db=BDPROTO&view=lang&code=1111	LG1111.txt	"Need to do something about LanguageFamilyRoot"	constenla1993		
